Index,Mainnet_Public_Key,Action,Amount_Asset,Transaction_Hash,StellarExpert_Link
11,"GASXG77WLVTMUL5Q3HHHVAW2RWVN7WTF3QLZ6BRVJV2CUXTHAVH2VEDC","P2P Micro-Gift","250.00 XLM","10d3b349459f3039c6edc165866d318ad4c06af312ce7fac556db1194c1f1b9d","https://stellar.expert/explorer/public/account/GASXG77WLVTMUL5Q3HHHVAW2RWVN7WTF3QLZ6BRVJV2CUXTHAVH2VEDC"
12,"GBLI7575EBYUWCVIRV66ICES6MCZ3FUYUPM32YHZIX7DUWJ3LAV2T2NE","Soroban Execution","250.00 XLM","f09faa690e207812e790f13ff7a9f007825e6a12be84f72f61e6a0908b9fd60a","https://stellar.expert/explorer/public/account/GBLI7575EBYUWCVIRV66ICES6MCZ3FUYUPM32YHZIX7DUWJ3LAV2T2NE"
13,"GC3LDWMIEFSYROSF77LE6RK6U6GZGPG7TK674ZAVUYT6IB7WTZTZEVT4","Gullak Vault Deposit","250.00 XLM","c9ae5fd7b25c7ff04d3330121f18030ba9550649d3684d33108c4ab76f843b39","https://stellar.expert/explorer/public/account/GC3LDWMIEFSYROSF77LE6RK6U6GZGPG7TK674ZAVUYT6IB7WTZTZEVT4"
14,"GARSAD4VYJ2OFSKE4EWFOVRY3SCN5DDYA47SPR6NDQYT7FBGZ6QWX3EN","sXAU Metals Swap","0.0800 sXAU","59427fd374001cdd529d24ffb5dff98a8a6ff48581972f16eef38bdd83268884","https://stellar.expert/explorer/public/account/GARSAD4VYJ2OFSKE4EWFOVRY3SCN5DDYA47SPR6NDQYT7FBGZ6QWX3EN"
15,"GDTK2RU4LLZROLKWHMADFNU2GGKDJZR3GE6VFKKCARYDCNUWY77B6QV5","sXAG Metals Swap","25.00 sXAG","f93db201488948d60586e6d55e19807fc849d9fd06d68790fdcf2b6453f672aa","https://stellar.expert/explorer/public/account/GDTK2RU4LLZROLKWHMADFNU2GGKDJZR3GE6VFKKCARYDCNUWY77B6QV5"
16,"GC433XYX56SNJAEIBZ2XMF36ZT6UGF7ORQ2QPO7YQKIPQS6K2BGLWEGT","USDC Collateral Loan","100.00 USDC","8eadb0b879c9debe86d882fa1086816545c3cb4ccbbe8f845bdfe6d48ca030a2","https://stellar.expert/explorer/public/account/GC433XYX56SNJAEIBZ2XMF36ZT6UGF7ORQ2QPO7YQKIPQS6K2BGLWEGT"
17,"GDP3CJ37ZI5KZPGIWBND3QCWNGQBEBUOJKVN7A2Q62RGYU6KSPJ5WLMD","P2P Micro-Gift","250.00 XLM","63e4e0a784603dfcc591a898ff10eb884a2bddcb678516fd31045ceb45ddc06e","https://stellar.expert/explorer/public/account/GDP3CJ37ZI5KZPGIWBND3QCWNGQBEBUOJKVN7A2Q62RGYU6KSPJ5WLMD"
18,"GDC3SHXSOB6XL2BQJEFPJJNV35F4WDNSX2PMCE4E2BKJKNZUFG6J23TV","Soroban Execution","250.00 XLM","8c4817e3f8d7d53dceb87a5d9674ad25715ae5ac5d0ce9d1713dd7cf9d229293","https://stellar.expert/explorer/public/account/GDC3SHXSOB6XL2BQJEFPJJNV35F4WDNSX2PMCE4E2BKJKNZUFG6J23TV"
19,"GCRDDBP2CPWEIAR4VFCHLRIEXIHNA4CDBNMNQ6333YL4QYTXMMPIW3ZR","Gullak Vault Deposit","250.00 XLM","b7283ec4b21ffb4732618a9e9171f6c0aa38db57ac5f55d1cea0d6df86126f33","https://stellar.expert/explorer/public/account/GCRDDBP2CPWEIAR4VFCHLRIEXIHNA4CDBNMNQ6333YL4QYTXMMPIW3ZR"
20,"GBPOTHN6CP2LHSDI64GXUZYEMRQ7FOE5AT6QCIMEYL6MCEXF456PLB3G","sXAU Metals Swap","0.1000 sXAU","deba8d86e0724d79bcdad4ceb17a822519fe363eaf2807e2cf3f8cdb91bb67c6","https://stellar.expert/explorer/public/account/GBPOTHN6CP2LHSDI64GXUZYEMRQ7FOE5AT6QCIMEYL6MCEXF456PLB3G"
21,"GD26EJDREQAKWAVVU7JVIV6H6KGATKWZPK7PJWH6VL76AH3G6RDOHSGK","sXAG Metals Swap","5.00 sXAG","d59af3a6ed217de1fe6685027eb33faf416b178b407ae8be0ba3d5e61f87513c","https://stellar.expert/explorer/public/account/GD26EJDREQAKWAVVU7JVIV6H6KGATKWZPK7PJWH6VL76AH3G6RDOHSGK"
22,"GA66FR5DEINFPPCE4WM3NDLFXTFUKDMT2Y65I72VAZJK73RCGLXHLQCK","USDC Collateral Loan","200.00 USDC","c1027c78119e278516b6b8de5318fb06e715166be657e141337c6e8f77ecc063","https://stellar.expert/explorer/public/account/GA66FR5DEINFPPCE4WM3NDLFXTFUKDMT2Y65I72VAZJK73RCGLXHLQCK"
23,"GA7EABVGLFX4PN4DRDZZFWVPYPXNTSMAW6ZOID5B6DIW64CY77QGKVZD","P2P Micro-Gift","250.00 XLM","1040f88eb2eb3ee09740bdfb67fb25f682944091b3f0fdca5d7d001ee890290f","https://stellar.expert/explorer/public/account/GA7EABVGLFX4PN4DRDZZFWVPYPXNTSMAW6ZOID5B6DIW64CY77QGKVZD"
24,"GB3QSCZISODPNPK7L7QHQTXUU3VU7VDC7FOOUSR2WOYZGANZ56YEIF2K","Soroban Execution","250.00 XLM","34bdcb02864eced6649d9f454417dcd436e50cc0f903b663444da53f3daa23ac","https://stellar.expert/explorer/public/account/GB3QSCZISODPNPK7L7QHQTXUU3VU7VDC7FOOUSR2WOYZGANZ56YEIF2K"
25,"GCEDNXH46MT62XK45DVFUFJ5J3SP6U3O5FNHKU3QCDL4DBVJVUPAILB5","Gullak Vault Deposit","250.00 XLM","911216edf89b557f0c2f8d0ebb5359a47899d9a62cba92b5be248e0c04f78920","https://stellar.expert/explorer/public/account/GCEDNXH46MT62XK45DVFUFJ5J3SP6U3O5FNHKU3QCDL4DBVJVUPAILB5"
