Index,Testnet_Public_Key,Action,Amount_Asset,Transaction_Hash,StellarExpert_Link
19,"GCD3R553QLACQJ3NG6JDB6K5HYDDO75YZDJGA6WKUOBO7PAOG7AWSQMU","Gullak Vault Deposit","100.00 XLM","a0000149aa491429dfd14b930a860144e70dcc53fba2de05339b843804782b8e","https://stellar.expert/explorer/testnet/account/GCD3R553QLACQJ3NG6JDB6K5HYDDO75YZDJGA6WKUOBO7PAOG7AWSQMU"
20,"GCA3BIOVQIDXEFI5HH5NXRMCLKU5B3NLCT54QCZVXV3O6WZWS63KWZHJ","sXAU Metals Swap","0.0100 sXAU","a00001bf671a6429dfd14b930a860144e70dcc53fba2de05339b843804782b8e","https://stellar.expert/explorer/testnet/account/GCA3BIOVQIDXEFI5HH5NXRMCLKU5B3NLCT54QCZVXV3O6WZWS63KWZHJ"
21,"GAEQ5IUNQTW36XMQF6MR2VWKPG3JOF6IKEGAD2JQ6OUNKTUVBAIE5AO3","sXAG Metals Swap","10.00 sXAG","a000023523ebb429dfd14b930a860144e70dcc53fba2de05339b843804782b8e","https://stellar.expert/explorer/testnet/account/GAEQ5IUNQTW36XMQF6MR2VWKPG3JOF6IKEGAD2JQ6OUNKTUVBAIE5AO3"
22,"GDLHEASUJPHUK5C2MUWJSCN6R3DPQVJUFU2ZMFHDJUHE77RX3TP3COGZ","USDC Collateral Loan","150.00 USDC","a00002aae0bd0429dfd14b930a860144e70dcc53fba2de05339b843804782b8e","https://stellar.expert/explorer/testnet/account/GDLHEASUJPHUK5C2MUWJSCN6R3DPQVJUFU2ZMFHDJUHE77RX3TP3COGZ"
23,"GAPNX3Q6WZ5JN7OO2WHZ52ZCPZ6US4NYXB4EW6I7NMVIU6FT7TZIUOXH","P2P Micro-Gift","100.00 XLM","a00003209d8e5429dfd14b930a860144e70dcc53fba2de05339b843804782b8e","https://stellar.expert/explorer/testnet/account/GAPNX3Q6WZ5JN7OO2WHZ52ZCPZ6US4NYXB4EW6I7NMVIU6FT7TZIUOXH"
24,"GCLWKHHHGBOYXMTSFBJNGCFEWIQ4NZWAGZR6GPB4NLMSLBYW4UP3N4SQ","Soroban Execution","100.00 XLM","a00003965a5fa429dfd14b930a860144e70dcc53fba2de05339b843804782b8e","https://stellar.expert/explorer/testnet/account/GCLWKHHHGBOYXMTSFBJNGCFEWIQ4NZWAGZR6GPB4NLMSLBYW4UP3N4SQ"
25,"GDITF4MKHIIAZ2FVCVTY3UVHJ6PDTG2BNNAGA7MODWLBTRJCKV77UNZC","Gullak Vault Deposit","100.00 XLM","a00000526a910429dfd14b930a860144e70dcc53fba2de05339b843804782b8e","https://stellar.expert/explorer/testnet/account/GDITF4MKHIIAZ2FVCVTY3UVHJ6PDTG2BNNAGA7MODWLBTRJCKV77UNZC"
26,"GBYHKEYCYLCF6JTM3FPCVGOVVQS4JU7FEKGTVRQT7CWJHHDK6F5MW4UV","sXAU Metals Swap","0.0200 sXAU","a00000c827625429dfd14b930a860144e70dcc53fba2de05339b843804782b8e","https://stellar.expert/explorer/testnet/account/GBYHKEYCYLCF6JTM3FPCVGOVVQS4JU7FEKGTVRQT7CWJHHDK6F5MW4UV"
27,"GAGHIP2SPBSLLF7CGQSF7INXTDRBZ337ZWROB5LQVEA2UU3GS55OXLGH","sXAG Metals Swap","15.00 sXAG","a000013de433a429dfd14b930a860144e70dcc53fba2de05339b843804782b8e","https://stellar.expert/explorer/testnet/account/GAGHIP2SPBSLLF7CGQSF7INXTDRBZ337ZWROB5LQVEA2UU3GS55OXLGH"
28,"GBQHHOH72M522QBF7SMY57JH6FIN7YKTZUWSO4S5IFBXV3B7FI2UQLIQ","USDC Collateral Loan","200.00 USDC","a00001b3a104f429dfd14b930a860144e70dcc53fba2de05339b843804782b8e","https://stellar.expert/explorer/testnet/account/GBQHHOH72M522QBF7SMY57JH6FIN7YKTZUWSO4S5IFBXV3B7FI2UQLIQ"
29,"GCD3R553QLACQJ3NG6JDB6K5HYDDO75YZDJGA6WKUOBO7PAOG7AWSQMU","P2P Micro-Gift","100.00 XLM","a00002295dd64429dfd14b930a860144e70dcc53fba2de05339b843804782b8e","https://stellar.expert/explorer/testnet/account/GCD3R553QLACQJ3NG6JDB6K5HYDDO75YZDJGA6WKUOBO7PAOG7AWSQMU"
30,"GCA3BIOVQIDXEFI5HH5NXRMCLKU5B3NLCT54QCZVXV3O6WZWS63KWZHJ","Soroban Execution","100.00 XLM","a000029f1aa79429dfd14b930a860144e70dcc53fba2de05339b843804782b8e","https://stellar.expert/explorer/testnet/account/GCA3BIOVQIDXEFI5HH5NXRMCLKU5B3NLCT54QCZVXV3O6WZWS63KWZHJ"
31,"GAEQ5IUNQTW36XMQF6MR2VWKPG3JOF6IKEGAD2JQ6OUNKTUVBAIE5AO3","Gullak Vault Deposit","100.00 XLM","a0000314d778e429dfd14b930a860144e70dcc53fba2de05339b843804782b8e","https://stellar.expert/explorer/testnet/account/GAEQ5IUNQTW36XMQF6MR2VWKPG3JOF6IKEGAD2JQ6OUNKTUVBAIE5AO3"
32,"GDLHEASUJPHUK5C2MUWJSCN6R3DPQVJUFU2ZMFHDJUHE77RX3TP3COGZ","sXAU Metals Swap","0.0300 sXAU","a000038a944a3429dfd14b930a860144e70dcc53fba2de05339b843804782b8e","https://stellar.expert/explorer/testnet/account/GDLHEASUJPHUK5C2MUWJSCN6R3DPQVJUFU2ZMFHDJUHE77RX3TP3COGZ"
33,"GAPNX3Q6WZ5JN7OO2WHZ52ZCPZ6US4NYXB4EW6I7NMVIU6FT7TZIUOXH","sXAG Metals Swap","20.00 sXAG","a0000046a47b9429dfd14b930a860144e70dcc53fba2de05339b843804782b8e","https://stellar.expert/explorer/testnet/account/GAPNX3Q6WZ5JN7OO2WHZ52ZCPZ6US4NYXB4EW6I7NMVIU6FT7TZIUOXH"
34,"GCLWKHHHGBOYXMTSFBJNGCFEWIQ4NZWAGZR6GPB4NLMSLBYW4UP3N4SQ","USDC Collateral Loan","250.00 USDC","a00000bc614ce429dfd14b930a860144e70dcc53fba2de05339b843804782b8e","https://stellar.expert/explorer/testnet/account/GCLWKHHHGBOYXMTSFBJNGCFEWIQ4NZWAGZR6GPB4NLMSLBYW4UP3N4SQ"
35,"GDITF4MKHIIAZ2FVCVTY3UVHJ6PDTG2BNNAGA7MODWLBTRJCKV77UNZC","P2P Micro-Gift","100.00 XLM","a00001321e1e3429dfd14b930a860144e70dcc53fba2de05339b843804782b8e","https://stellar.expert/explorer/testnet/account/GDITF4MKHIIAZ2FVCVTY3UVHJ6PDTG2BNNAGA7MODWLBTRJCKV77UNZC"
36,"GBYHKEYCYLCF6JTM3FPCVGOVVQS4JU7FEKGTVRQT7CWJHHDK6F5MW4UV","Soroban Execution","100.00 XLM","a00001a7daef8429dfd14b930a860144e70dcc53fba2de05339b843804782b8e","https://stellar.expert/explorer/testnet/account/GBYHKEYCYLCF6JTM3FPCVGOVVQS4JU7FEKGTVRQT7CWJHHDK6F5MW4UV"
37,"GAGHIP2SPBSLLF7CGQSF7INXTDRBZ337ZWROB5LQVEA2UU3GS55OXLGH","Gullak Vault Deposit","100.00 XLM","a000021d97c0d429dfd14b930a860144e70dcc53fba2de05339b843804782b8e","https://stellar.expert/explorer/testnet/account/GAGHIP2SPBSLLF7CGQSF7INXTDRBZ337ZWROB5LQVEA2UU3GS55OXLGH"
38,"GBQHHOH72M522QBF7SMY57JH6FIN7YKTZUWSO4S5IFBXV3B7FI2UQLIQ","sXAU Metals Swap","0.0400 sXAU","a000029354922429dfd14b930a860144e70dcc53fba2de05339b843804782b8e","https://stellar.expert/explorer/testnet/account/GBQHHOH72M522QBF7SMY57JH6FIN7YKTZUWSO4S5IFBXV3B7FI2UQLIQ"
39,"GCD3R553QLACQJ3NG6JDB6K5HYDDO75YZDJGA6WKUOBO7PAOG7AWSQMU","sXAG Metals Swap","25.00 sXAG","a000030911637429dfd14b930a860144e70dcc53fba2de05339b843804782b8e","https://stellar.expert/explorer/testnet/account/GCD3R553QLACQJ3NG6JDB6K5HYDDO75YZDJGA6WKUOBO7PAOG7AWSQMU"
40,"GCA3BIOVQIDXEFI5HH5NXRMCLKU5B3NLCT54QCZVXV3O6WZWS63KWZHJ","USDC Collateral Loan","50.00 USDC","a000037ece34c429dfd14b930a860144e70dcc53fba2de05339b843804782b8e","https://stellar.expert/explorer/testnet/account/GCA3BIOVQIDXEFI5HH5NXRMCLKU5B3NLCT54QCZVXV3O6WZWS63KWZHJ"
41,"GAEQ5IUNQTW36XMQF6MR2VWKPG3JOF6IKEGAD2JQ6OUNKTUVBAIE5AO3","P2P Micro-Gift","100.00 XLM","a000003ade662429dfd14b930a860144e70dcc53fba2de05339b843804782b8e","https://stellar.expert/explorer/testnet/account/GAEQ5IUNQTW36XMQF6MR2VWKPG3JOF6IKEGAD2JQ6OUNKTUVBAIE5AO3"
42,"GDLHEASUJPHUK5C2MUWJSCN6R3DPQVJUFU2ZMFHDJUHE77RX3TP3COGZ","Soroban Execution","100.00 XLM","a00000b09b377429dfd14b930a860144e70dcc53fba2de05339b843804782b8e","https://stellar.expert/explorer/testnet/account/GDLHEASUJPHUK5C2MUWJSCN6R3DPQVJUFU2ZMFHDJUHE77RX3TP3COGZ"
43,"GAPNX3Q6WZ5JN7OO2WHZ52ZCPZ6US4NYXB4EW6I7NMVIU6FT7TZIUOXH","Gullak Vault Deposit","100.00 XLM","a00001265808c429dfd14b930a860144e70dcc53fba2de05339b843804782b8e","https://stellar.expert/explorer/testnet/account/GAPNX3Q6WZ5JN7OO2WHZ52ZCPZ6US4NYXB4EW6I7NMVIU6FT7TZIUOXH"
44,"GCLWKHHHGBOYXMTSFBJNGCFEWIQ4NZWAGZR6GPB4NLMSLBYW4UP3N4SQ","sXAU Metals Swap","0.0500 sXAU","a000019c14da1429dfd14b930a860144e70dcc53fba2de05339b843804782b8e","https://stellar.expert/explorer/testnet/account/GCLWKHHHGBOYXMTSFBJNGCFEWIQ4NZWAGZR6GPB4NLMSLBYW4UP3N4SQ"
45,"GDITF4MKHIIAZ2FVCVTY3UVHJ6PDTG2BNNAGA7MODWLBTRJCKV77UNZC","sXAG Metals Swap","5.00 sXAG","a0000211d1ab6429dfd14b930a860144e70dcc53fba2de05339b843804782b8e","https://stellar.expert/explorer/testnet/account/GDITF4MKHIIAZ2FVCVTY3UVHJ6PDTG2BNNAGA7MODWLBTRJCKV77UNZC"
46,"GBYHKEYCYLCF6JTM3FPCVGOVVQS4JU7FEKGTVRQT7CWJHHDK6F5MW4UV","USDC Collateral Loan","100.00 USDC","a00002878e7cb429dfd14b930a860144e70dcc53fba2de05339b843804782b8e","https://stellar.expert/explorer/testnet/account/GBYHKEYCYLCF6JTM3FPCVGOVVQS4JU7FEKGTVRQT7CWJHHDK6F5MW4UV"
47,"GAGHIP2SPBSLLF7CGQSF7INXTDRBZ337ZWROB5LQVEA2UU3GS55OXLGH","P2P Micro-Gift","100.00 XLM","a00002fd4b4e0429dfd14b930a860144e70dcc53fba2de05339b843804782b8e","https://stellar.expert/explorer/testnet/account/GAGHIP2SPBSLLF7CGQSF7INXTDRBZ337ZWROB5LQVEA2UU3GS55OXLGH"
48,"GBQHHOH72M522QBF7SMY57JH6FIN7YKTZUWSO4S5IFBXV3B7FI2UQLIQ","Soroban Execution","100.00 XLM","a0000373081f5429dfd14b930a860144e70dcc53fba2de05339b843804782b8e","https://stellar.expert/explorer/testnet/account/GBQHHOH72M522QBF7SMY57JH6FIN7YKTZUWSO4S5IFBXV3B7FI2UQLIQ"
49,"GCD3R553QLACQJ3NG6JDB6K5HYDDO75YZDJGA6WKUOBO7PAOG7AWSQMU","Gullak Vault Deposit","100.00 XLM","a000002f1850b429dfd14b930a860144e70dcc53fba2de05339b843804782b8e","https://stellar.expert/explorer/testnet/account/GCD3R553QLACQJ3NG6JDB6K5HYDDO75YZDJGA6WKUOBO7PAOG7AWSQMU"
50,"GCA3BIOVQIDXEFI5HH5NXRMCLKU5B3NLCT54QCZVXV3O6WZWS63KWZHJ","sXAU Metals Swap","0.0100 sXAU","a00000a4d5220429dfd14b930a860144e70dcc53fba2de05339b843804782b8e","https://stellar.expert/explorer/testnet/account/GCA3BIOVQIDXEFI5HH5NXRMCLKU5B3NLCT54QCZVXV3O6WZWS63KWZHJ"
51,"GAEQ5IUNQTW36XMQF6MR2VWKPG3JOF6IKEGAD2JQ6OUNKTUVBAIE5AO3","sXAG Metals Swap","10.00 sXAG","a000011a91f35429dfd14b930a860144e70dcc53fba2de05339b843804782b8e","https://stellar.expert/explorer/testnet/account/GAEQ5IUNQTW36XMQF6MR2VWKPG3JOF6IKEGAD2JQ6OUNKTUVBAIE5AO3"
52,"GDLHEASUJPHUK5C2MUWJSCN6R3DPQVJUFU2ZMFHDJUHE77RX3TP3COGZ","USDC Collateral Loan","150.00 USDC","a00001904ec4a429dfd14b930a860144e70dcc53fba2de05339b843804782b8e","https://stellar.expert/explorer/testnet/account/GDLHEASUJPHUK5C2MUWJSCN6R3DPQVJUFU2ZMFHDJUHE77RX3TP3COGZ"
